,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
1,Maruti Wagon R,2007,135000,50000,Petrol,Individual,Manual,First Owner
2,Hyundai Verna 1.6,2012,600000,100000,Diesel,Individual,Manual,First Owner
3,Datsun RediGO T,2017,250000,46000,Petrol,Individual,Manual,First Owner
4,Honda Amaze VX,2014,450000,141000,Diesel,Individual,Manual,Second Owner
5,Maruti Alto LX,2007,140000,125000,Petrol,Individual,Manual,First Owner
6,Hyundai Xcent 1.2,2016,550000,25000,Petrol,Individual,Manual,First Owner
7,Tata Indigo Grand,2014,240000,60000,Petrol,Individual,Manual,Second Owner
8,Hyundai Creta 1.6,2015,850000,25000,Petrol,Individual,Manual,First Owner
9,Maruti Celerio Green,2017,365000,78000,CNG,Individual,Manual,First Owner
10,Chevrolet Sail 1.2,2015,260000,35000,Petrol,Individual,Manual,First Owner
11,Tata Indigo Grand,2014,250000,100000,Petrol,Individual,Manual,First Owner
12,Maruti Ciaz VXi,2015,585000,24000,Petrol,Dealer,Manual,First Owner
13,Chevrolet Enjoy TCDi,2013,390000,33000,Diesel,Individual,Manual,Second Owner
14,Maruti Vitara Brezza,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
15,Honda City V,2018,930000,14500,Petrol,Dealer,Manual,First Owner
16,Tata Tigor 1.2,2018,525000,15000,Petrol,Individual,Manual,First Owner
17,Skoda Superb Ambition,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
18,Toyota Corolla Altis,2016,900000,50000,Petrol,Individual,Automatic,First Owner
19,Mercedes-Benz E-Class E,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
20,Hyundai i10 Magna,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
21,Hyundai Elantra CRDi,2012,625000,40000,Diesel,Individual,Manual,First Owner
22,Honda City i,2014,560000,74000,Diesel,Individual,Manual,Second Owner
23,Maruti Wagon R,2014,290000,64000,Petrol,Individual,Manual,Second Owner
24,Maruti Wagon R,2012,275000,60000,Petrol,Individual,Manual,Second Owner
25,Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner
26,Hyundai Santro Xing,2009,150000,79000,Petrol,Individual,Manual,Third Owner
27,Hyundai Grand i10,2019,500000,15000,Petrol,Individual,Manual,First Owner
28,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
29,Maruti Swift Dzire,2017,725000,18500,Diesel,Dealer,Manual,First Owner
30,Maruti Eeco 5,2018,401000,10200,Petrol,Dealer,Manual,First Owner
31,Hyundai i20 Sportz,2018,750000,29000,Diesel,Dealer,Manual,First Owner
32,Maruti Omni Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner
33,Maruti Swift ZDi,2016,665000,46000,Diesel,Dealer,Manual,First Owner
34,Hyundai i20 2015-2017,2014,465000,70000,Diesel,Dealer,Manual,First Owner
35,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner
36,Honda City i,2014,675000,90000,Diesel,Dealer,Manual,First Owner
37,Maruti Wagon R,2013,300000,80000,Petrol,Dealer,Manual,First Owner
38,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
39,Hyundai EON Magna,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
40,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
41,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
42,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
43,Mahindra Scorpio 1.99,2017,570000,60000,Diesel,Individual,Manual,First Owner
44,Hyundai EON Magna,2018,300000,31000,Petrol,Individual,Manual,First Owner
45,Tata Indigo Classic,2007,100000,39000,Diesel,Individual,Manual,First Owner
46,Toyota Innova 2.5,2009,500000,120000,Diesel,Individual,Manual,Third Owner
47,Tata Indica Vista,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
48,Maruti Swift 1.3,2006,130000,110000,Petrol,Individual,Manual,Third Owner
49,Ford EcoSport 1.5,2017,925000,35000,Diesel,Individual,Manual,First Owner
50,Maruti Ciaz 1.3,2018,750000,60000,Diesel,Individual,Manual,First Owner
51,Honda Civic 1.8,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
52,Hyundai i10 Sportz,2010,248000,63000,Petrol,Individual,Manual,Second Owner
53,Skoda Rapid 1.5,2014,450000,120000,Diesel,Individual,Manual,Second Owner
54,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
55,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
56,Hyundai Grand i10,2015,450000,80000,Diesel,Individual,Manual,First Owner
57,Hyundai Elite i20,2019,650000,25000,Diesel,Individual,Manual,First Owner
58,Honda Amaze S,2016,495000,11958,Petrol,Dealer,Manual,First Owner
59,Honda Brio S,2015,371000,20000,Petrol,Dealer,Manual,First Owner
60,Mahindra XUV500 W8,2015,750000,70000,Diesel,Individual,Manual,First Owner
61,Renault Duster 85PS,2013,600000,120000,Diesel,Individual,Manual,First Owner
62,Hyundai Santro Xing,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
63,Mahindra Bolero 2011-2019,2013,325000,62200,Diesel,Dealer,Manual,First Owner
64,Fiat Avventura MULTIJET,2015,350000,53000,Diesel,Individual,Manual,Second Owner
65,Datsun RediGO 1.0,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
66,Volkswagen Jetta 1.4,2013,450000,50000,Petrol,Individual,Manual,First Owner
67,Honda Civic 1.8,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
68,Maruti SX4 Zxi,2008,175000,29173,Petrol,Dealer,Manual,First Owner
69,Mahindra Bolero Power,2017,628000,120000,Diesel,Individual,Manual,First Owner
70,Hyundai Sonata CRDi,2010,600000,100000,Diesel,Individual,Manual,First Owner
71,Nissan Micra Active,2017,399000,30000,Petrol,Individual,Manual,First Owner
72,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner
73,Hyundai Elite i20,2019,750000,15000,Petrol,Individual,Manual,First Owner
74,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner
75,Mahindra Xylo E4,2012,600000,60000,Diesel,Individual,Manual,First Owner
76,Maruti Wagon R,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
77,Maruti SX4 ZXI,2011,250000,110000,Petrol,Individual,Manual,Third Owner
78,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner
79,Hyundai Creta 1.4,2016,780000,60000,Diesel,Individual,Manual,First Owner
80,Maruti Swift Dzire,2014,434000,79350,Diesel,Individual,Manual,Second Owner
81,Hyundai Verna 1.6,2016,690000,80000,Petrol,Individual,Automatic,First Owner
82,Mahindra Scorpio LX,2014,555000,90000,Diesel,Individual,Manual,Second Owner
83,Maruti SX4 Vxi,2007,120000,90000,Petrol,Individual,Manual,Second Owner
84,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner
85,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner
86,Maruti Baleno Delta,2018,550000,20000,Petrol,Individual,Manual,First Owner
87,Maruti Swift Vdi,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
88,Tata Nano Lx,2012,100000,50000,Petrol,Individual,Manual,Second Owner
89,Toyota Innova 2.5,2012,500000,100000,Diesel,Individual,Manual,First Owner
90,Maruti Ertiga SHVS,2016,800000,70000,Diesel,Individual,Manual,Second Owner
91,Hyundai Creta 1.6,2016,840000,70000,Diesel,Individual,Manual,Second Owner
92,Honda Amaze S,2016,490000,50000,Petrol,Individual,Manual,First Owner
93,Tata Indica Vista,2010,125000,81000,Diesel,Individual,Manual,Second Owner
94,Chevrolet Tavera Neo,2012,400000,120000,Diesel,Individual,Manual,Third Owner
95,Ford Figo Aspire,2015,530000,14272,Petrol,Dealer,Manual,First Owner
96,Ford EcoSport 1.5,2017,840000,49213,Diesel,Dealer,Manual,First Owner
97,Hyundai i10 Sportz,2015,229999,40000,Petrol,Individual,Manual,First Owner
98,Chevrolet Spark 1.0,2012,130000,80000,Petrol,Individual,Manual,First Owner
99,Hyundai EON Era,2015,200000,70000,Petrol,Individual,Manual,First Owner
100,Tata Indica Vista,2011,120000,70000,Diesel,Individual,Manual,First Owner
101,Tata Bolt Quadrajet,2016,250000,120000,Diesel,Individual,Manual,First Owner
102,Maruti 800 AC,2005,100000,30000,Petrol,Individual,Manual,First Owner
103,Hyundai EON Era,2013,280000,3240,Petrol,Individual,Manual,Second Owner
104,Hyundai i20 Magna,2015,540000,5000,Petrol,Individual,Manual,First Owner
105,Hyundai i20 1.2,2018,700000,10000,Petrol,Individual,Manual,First Owner
106,Maruti Ciaz VDi,2015,525000,100000,Diesel,Individual,Manual,First Owner
107,Hyundai i20 Asta,2016,430000,80000,Diesel,Individual,Manual,First Owner
108,Maruti Vitara Brezza,2018,800000,35000,Diesel,Individual,Manual,First Owner
109,Hyundai Santro Xing,2007,75000,114000,Petrol,Individual,Manual,Second Owner
110,Hyundai Getz 1.3,2008,210000,53772,Petrol,Individual,Manual,First Owner
111,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner
112,Chevrolet Tavera Neo,2015,400000,120000,Diesel,Individual,Manual,First Owner
113,Hyundai EON Magna,2012,170000,60000,Petrol,Individual,Manual,First Owner
114,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner
115,Maruti Wagon R,2014,210000,90000,LPG,Individual,Manual,First Owner
116,Maruti Wagon R,2020,240000,120000,Petrol,Individual,Manual,First Owner
117,Chevrolet Spark 1.0,2011,99000,100000,Petrol,Individual,Manual,Third Owner
118,Honda City i,2014,620000,36000,Petrol,Individual,Manual,First Owner
119,Honda Amaze VX,2013,500000,30000,Diesel,Individual,Manual,First Owner
120,Honda Brio E,2013,260000,70000,Petrol,Individual,Manual,Second Owner
121,Maruti Swift VVT,2017,550000,60000,Petrol,Individual,Manual,First Owner
122,Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner
123,Hyundai i10 Asta,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
124,Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner
125,Maruti Swift VDI,2015,400000,100000,Diesel,Individual,Manual,Third Owner
126,Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner
127,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner
128,Renault Duster 110PS,2013,320000,90000,Diesel,Individual,Manual,Second Owner
129,Hyundai Santro Xing,2006,70000,110000,Petrol,Individual,Manual,Third Owner
130,Maruti Swift Dzire,2019,810000,15000,Petrol,Individual,Manual,First Owner
131,Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner
132,Maruti Alto K10,2020,282000,40000,CNG,Individual,Manual,First Owner
133,Tata Nano LX,2013,72000,25000,Petrol,Individual,Manual,First Owner
134,Hyundai i20 Magna,2016,600000,25000,Petrol,Individual,Manual,First Owner
135,Skoda Rapid 1.6,2015,640000,23000,Petrol,Individual,Manual,First Owner
136,Maruti Alto K10,2018,380000,22155,Petrol,Individual,Manual,First Owner
137,Maruti Ciaz 1.4,2018,650000,70000,Petrol,Individual,Manual,First Owner
138,Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner
139,Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner
140,Tata Nexon 1.2,2018,430000,30000,Petrol,Individual,Manual,First Owner
141,Mahindra Bolero Power,2019,800000,15000,Diesel,Individual,Manual,First Owner
142,Volkswagen Vento Celeste,2016,650000,70000,Diesel,Individual,Automatic,First Owner
143,Maruti Eeco 7,2017,390000,24000,Petrol,Individual,Manual,First Owner
144,Honda City 1.5,2005,100000,120000,Petrol,Individual,Manual,Second Owner
145,Maruti SX4 Zxi,2007,175000,78380,Petrol,Individual,Manual,First Owner
146,Renault Duster 110PS,2012,434999,110000,Diesel,Individual,Manual,Second Owner
147,Ford Figo Diesel,2010,170000,90000,Diesel,Individual,Manual,Third Owner
148,Ford Figo Diesel,2011,190000,90000,Diesel,Individual,Manual,Third Owner
149,Maruti Swift Dzire,2009,250000,150000,Diesel,Individual,Manual,Third Owner
150,Maruti Esteem Vxi,2006,140000,70000,Petrol,Individual,Manual,Third Owner
151,Maruti Swift VDI,2017,600000,80362,Diesel,Individual,Manual,First Owner
152,Hyundai i20 1.2,2012,280000,110000,Petrol,Individual,Manual,Third Owner
153,Chevrolet Beat Diesel,2012,150000,60000,Diesel,Individual,Manual,First Owner
154,Chevrolet Cruze LTZ,2015,650000,50000,Diesel,Individual,Automatic,First Owner
155,Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner
156,Chevrolet Enjoy 1.3,2013,425000,20000,Diesel,Dealer,Manual,First Owner
157,Hyundai EON Era,2014,265000,55000,Petrol,Dealer,Manual,First Owner
158,Fiat Linea T,2018,890000,1136,Petrol,Dealer,Manual,First Owner
159,Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner
160,Ford Figo Petrol,2014,350000,43000,Petrol,Dealer,Manual,First Owner
161,Maruti Ciaz ZDi,2016,685000,60000,Diesel,Individual,Manual,First Owner
162,Skoda Rapid 1.5,2018,940000,2650,Diesel,Dealer,Manual,First Owner
163,Maruti Ertiga SHVS,2016,450000,115962,Diesel,Individual,Manual,Second Owner
164,Nissan Terrano XE,2015,590000,65000,Diesel,Dealer,Manual,First Owner
165,Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner
166,Hyundai i20 Magna,2012,385000,58000,Diesel,Dealer,Manual,First Owner
